ID_FASHI,Name,ra,dec,ra-dec_err,cz,cz_err,cz_min,cz_max,v_radio,v_radio_err,freq,freq_err,z,z_err,ell_maj,ell_min,ell_pa,W_50,W_50_err,W_20,W_20_err,F_peak,F_peak_err,S_bf,S_bf_err,S_sum,S_sum_err,rms,SNR,distance,distance_err,log10Mass,log10Mass_err ,ell_ratio
20230042101.0,J041459.69-054904.0,63.7487,-5.8178,0.0076,3622.89,3.15,3545.88,3717.84,3579.63,3.15,1403.4456,0.0149,0.01208,1.1e-05,3.8,3.8,0,25.06,6.31,39.13,9.46,7.61,2.08,168.23,64.48,72.3,64.48,2.08,6.38,44.77,2.24,7.89,0.17,1.0
20230001032.0,J104911.02-053456.7,162.2959,-5.5824,0.0026,5105.25,2.22,4950.18,5257.38,5019.77,2.22,1396.6223,0.0105,0.01703,8e-06,6.2,5.0,28,11.89,4.44,70.39,6.66,15.82,2.87,462.92,121.59,604.86,121.59,2.87,18.48,72.5,3.62,8.75,0.12,0.8064516129032258
20230051923.0,J140449.24-053135.0,211.2052,-5.5264,0.0024,2879.48,0.88,2822.28,2927.58,2852.09,0.88,1406.8927,0.0042,0.0096,3e-06,4.1,4.1,0,21.32,1.76,32.32,2.63,21.81,2.07,491.18,48.43,411.32,48.43,2.07,20.27,41.66,2.08,8.3,0.06,1.0
20230060231.0,J044751.58-042204.4,71.9649,-4.3679,0.0034,8718.81,1.35,8675.97,8785.38,8472.41,1.35,1380.2638,0.0064,0.02908,5e-06,3.4,3.4,0,22.09,2.7,35.17,4.05,13.03,1.84,315.32,43.05,268.88,43.05,1.84,14.38,108.75,5.44,8.93,0.07,1.0
20230001920.0,J013115.13-040222.6,22.813,-4.0396,0.0031,2017.91,1.89,1945.06,2102.15,2004.42,1.89,1410.9089,0.009,0.00673,6e-06,3.1,3.1,0,23.64,3.79,54.79,5.68,11.96,1.9,368.74,56.15,319.97,56.15,1.9,15.81,26.39,1.32,7.78,0.08,1.0
20230060238.0,J024729.99-040050.5,41.8749,-4.014,0.0049,1340.41,1.65,1292.06,1396.42,1334.44,1.65,1414.0832,0.0078,0.00447,6e-06,4.8,4.5,114,15.93,3.31,25.36,4.96,14.02,2.42,243.87,56.66,89.78,56.66,2.42,9.96,16.17,0.81,7.17,0.11,0.9375
20230002250.0,J125721.97-034039.8,194.3416,-3.6777,0.0018,3201.66,1.79,3045.36,3441.2,3167.83,1.79,1405.3967,0.0085,0.01068,6e-06,3.5,3.5,0,10.96,3.58,88.75,5.37,10.95,1.75,387.39,85.29,200.35,85.29,1.75,26.44,45.84,2.29,8.28,0.11,1.0
20230060253.0,J101008.23-033950.3,152.5343,-3.664,0.0034,6511.29,2.6,6442.92,6571.05,6372.88,2.6,1390.2113,0.0123,0.02172,9e-06,2.3,2.3,0,15.31,5.2,64.05,7.79,5.87,1.31,186.56,33.82,172.64,33.82,1.31,14.42,94.35,4.72,8.58,0.09,1.0
20230002479.0,J094404.10-032650.5,146.0171,-3.4474,0.0021,1835.73,0.72,1781.7,1893.04,1824.56,0.72,1411.7611,0.0034,0.00612,2e-06,4.1,4.1,0,17.26,1.43,26.66,2.15,13.07,1.17,282.53,28.34,239.76,28.34,1.17,23.02,27.9,1.39,7.71,0.06,1.0
20230060269.0,J034602.84-031215.1,56.5118,-3.2042,0.0006,3855.32,1.1,3684.1,4054.95,3806.37,1.1,1402.3713,0.0052,0.01286,4e-06,3.2,3.2,0,6.72,2.19,244.29,3.29,11.6,1.5,743.78,70.65,661.47,70.65,1.5,75.44,47.38,2.37,8.59,0.06,1.0
